razon_social;localidad;web;dominio_email;categoria
Desarrollo De Equipos Industriales S A;Rafaela;desarrollosindustriales.com;desarrollosindustriales.com;A
Tecnored Energia S.A.;Rio Cuarto;tecnoredconsultores.com.ar;tecnoredconsultores.com.ar;B
New American Oil S.A.;Plaza Huincul;naocombustibles.com;naocombustibles.com;B
Vm Metalurgica Srl;Carcaraña;metalvm.com.ar;metalvm.com.ar;B
Talleres Gan Mar S R L;Frontera;ganmar.com.ar;ganmar.com.ar;B
MINERA SAN PEDRO SRL;CORDOBA;minerasanpedro.com.ar;minerasanpedro.com.ar;B
Industrias Metalurgicas Damiani Y D Alleva S R L;Roldan;damianiydalleva.com.ar;damianiydalleva.com.ar;B
America Pampa Agroindustrial S.A.;America;;americapampa.com;B
