razon_social;localidad;provincia;dominio_conocido;rubro_supuesto
Metalurgica Borra Srl;Jose Leon Suarez;;metalurgicaborrasrl.com.ar;Metalúrgicas / metalmecánica a pedido
Agroservicios Don Raul Srl;San Carlos Norte;;agrodonraul.com.ar;Agroindustria (proveedores de servicios/insumos)
Tecnored Energia S.A.;Rio Cuarto;;tecnoredconsultores.com.ar;Minería y energía (proveedores y contratistas)
Seaboard Energias Renovables Y Alimentos S.R.L (Tabacal);Paraje Tabacal;;tabacal.com.ar;Minería y energía (proveedores y contratistas)
MINERA SAN PEDRO SRL;CORDOBA;;minerasanpedro.com.ar;Minería y energía (proveedores y contratistas)
COOPERATIVA ELECTRICA Y DE OBRAS Y SERV PUBLICOS LTDA;JUSTINIANO POSSE;;coopjposse.com.ar;Minería y energía (proveedores y contratistas)
Advanta Semillas S.A.I.C.;Murphy;;advantaseeds.com;Agroindustria (proveedores de servicios/insumos)
Frigorifico Alberdi Sociedad Anonima;San Martin;;falberdi.com;Agroindustria (proveedores de servicios/insumos)
Tmv Servicios Industriales S.R.L.;CABA;;vibrothech.com.ar;Servicios técnicos y mantenimiento industrial
B Y T Metalurgica S.R.L.;Arroyo Seco;;bytmetalurgica.com.ar;Metalúrgicas / metalmecánica a pedido
Cia. Entrerriana De Rodamientos S.A.;Parana;;rodacom.com.ar;Distribuidoras de insumos industriales
Bounous Hnos S A Industrias Metalurgicas;Galvez;;bounous.com.ar;Metalúrgicas / metalmecánica a pedido
Metalurgica Kogut S.R.L.;Eldorado;;maquinaskogut.com.ar;Metalúrgicas / metalmecánica a pedido
METALURGICA ED MA S.R.L.;MARCOS JUAREZ;;edma.com.ar;Metalúrgicas / metalmecánica a pedido
Amarilla Gas Sociedad Anonima;Resistencia;;amarillagas.com;Instalaciones (eléctricas, termomecánicas, gas, incendio)
Metalurgica Colussi S.R.L.;San Carlos;;scarlos.com.ar;Metalúrgicas / metalmecánica a pedido
Fundicion Gatti Srl;Pilar;;fundidiongatti.com.ar;Metalúrgicas / metalmecánica a pedido
TALLERES METALÚRGICOS PRABA S.R.L.;TORTUGAS;;pulverizadorespraba.com;Metalúrgicas / metalmecánica a pedido
Fyo Acopio S.A.;Roldan;;fyo.com;Agroindustria (proveedores de servicios/insumos)
Metal Empalme Sociedad De Responsabilidad Limitada;Empalme Villa Constitucion;;metalempalme.com.ar;Metalúrgicas / metalmecánica a pedido
San Justo Agro Insumos Sa;San Justo;;sanjustosf.com.ar;Agroindustria (proveedores de servicios/insumos)
Agroservicios Humboldt S.A.;Humboldt;;grupocem.com.ar;Agroindustria (proveedores de servicios/insumos)
Agroindustria Y Servicios G Y G S R L;Sunchales;;richiger.com.ar;Agroindustria (proveedores de servicios/insumos)
AGRO SERVICIOS S.R.L.;JUSTINIANO POSSE;;agroservicios.com.ar;Agroindustria (proveedores de servicios/insumos)
America Pampa Agroindustrial S.A.;America;;americapampa.com;Agroindustria (proveedores de servicios/insumos)
Fundicion La Union S R L;Las Parejas;;fundicionlaunion.com.ar;Metalúrgicas / metalmecánica a pedido
S. R. Industria Metalurgica S. A.;Colon;;metalurgica-sr.com.ar;Metalúrgicas / metalmecánica a pedido
Servicios Agroindustriales Empalme S. R. L.;Empalme Villa Constitucion;;saesrl.com.ar;Agroindustria (proveedores de servicios/insumos)
Minera Santa Rita Srl;Campo Quijano;;santaritasrl.com;Minería y energía (proveedores y contratistas)
New American Oil S.A.;Plaza Huincul;;naocombustibles.com;Minería y energía (proveedores y contratistas)
